semiannual_start,ticker,rl_risk_score,risk_profile,split
2023-03-08,EMFD,-2.6328744292259216,conservative,train
2023-03-08,ETEL,0.6122906003147364,balanced,train
2023-03-08,EXPA,1.0839981157332659,balanced,train
2023-03-08,FAIT,-1.3365915790200233,conservative,train
2023-03-08,FAITA,-2.916003465652466,conservative,train
2023-03-08,FWRY,0.803366094827652,balanced,train
2023-03-08,GBCO,2.7370113730430603,aggressive,train
2023-03-08,GDWA,2.4622474312782288,aggressive,train
2023-03-08,HDBK,-1.0435340702533722,conservative,train
2023-03-08,HELI,3.0183218121528625,aggressive,train
2023-03-08,HRHO,-2.1855828166007996,conservative,train
2023-03-08,IRON,-0.23772791400551796,balanced,train
2023-03-08,ISPH,1.855208307504654,aggressive,train
2023-03-08,JUFO,1.3499953895807266,aggressive,train
2023-03-08,MASR,0.5114296544343233,balanced,train
2023-03-08,MCQE,-0.22101997211575508,balanced,train
2023-03-08,MFPC,-1.502756118774414,conservative,train
2023-03-08,MTIE,2.9367361068725586,aggressive,train
2023-03-08,OCDI,-0.630482628941536,conservative,train
2023-03-08,OFH,0.5963990110903978,balanced,train
2023-03-08,OIH,0.6452281773090363,balanced,train
2023-03-08,ORAS,-1.874270260334015,conservative,train
2023-03-08,ORHD,2.729952394962311,aggressive,train
2023-03-08,ORWE,2.140588641166687,aggressive,train
2023-03-08,PHAR,-2.8040011525154114,conservative,train
2023-03-08,PHDC,2.4404462575912476,aggressive,train
2023-03-08,PRDC,-1.973393052816391,conservative,train
2023-03-08,QNBE,-1.712984323501587,conservative,train
2023-03-08,RAYA,2.728709101676941,aggressive,train
2023-03-08,RMDA,-2.0606886446475983,conservative,train
2023-03-08,SKPC,2.1083126962184906,aggressive,train
2023-03-08,SPMD,0.20099529810249805,balanced,train
2023-03-08,SUGR,0.9210411012172699,balanced,train
2023-03-08,SWDY,2.3003223836421967,aggressive,train
2023-03-08,TALM,1.498984307050705,aggressive,train
2023-03-08,TMGH,-2.142008066177368,conservative,train
2023-03-08,VLMR,-3.1406005024909973,conservative,train
2023-03-08,VLMRA,-0.030643783509731293,balanced,train
2024-01-02,ABUK,1.343901813030243,aggressive,test
2024-01-02,ADIB,0.8342362940311432,balanced,test
2024-01-02,ALCN,2.675690313180288,aggressive,test
2024-01-02,AMOC,0.25176383430759114,balanced,test
2024-01-02,ARAB,1.4994376202424367,aggressive,test
2024-01-02,ARCC,1.2019812613725662,balanced,test
2024-01-02,ASPI,1.0466210494438808,balanced,test
2024-01-02,BINV,1.0064441710710526,balanced,test
2024-01-02,BTFH,1.019146705667178,balanced,test
2024-01-02,CCAP,1.7517613818248112,aggressive,test
2024-01-02,CICH,-1.6240427891413372,conservative,test
2024-01-02,CIEB,1.0387009531259537,balanced,test
2024-01-02,CIRA,-2.3058217763900757,conservative,test
2024-01-02,CLHO,-2.3287454644838967,conservative,test
2024-01-02,COMI,-3.2530939976374307,conservative,test
2024-01-02,DSCW,0.9562208205461502,balanced,test
2024-01-02,EAST,1.2315567210316658,balanced,test
2024-01-02,EFID,-0.8893579728901386,conservative,test
2024-01-02,EFIH,0.4176142116387685,balanced,test
2024-01-02,EGAL,2.5055981477101645,aggressive,test
2024-01-02,EGCH,2.195761958758036,aggressive,test
2024-01-02,EGTS,1.6709923148155212,aggressive,test
2024-01-02,EMFD,1.103379746278127,balanced,test
2024-01-02,ETEL,-2.613204002380371,conservative,test
2024-01-02,EXPA,-1.0343055923779805,conservative,test
2024-01-02,FAIT,-2.9569576183954873,conservative,test
2024-01-02,FAITA,-2.779329220453898,conservative,test
2024-01-02,FWRY,-0.19775176048278809,balanced,test
2024-01-02,GBCO,1.4652088433504105,aggressive,test
2024-01-02,GDWA,1.6969850659370422,aggressive,test
2024-01-02,HDBK,-2.465817451477051,conservative,test
2024-01-02,HELI,-0.8455875217914581,conservative,test
2024-01-02,HRHO,-2.9653024276097617,conservative,test
2024-01-02,IRON,-1.4937766591707866,conservative,test
2024-01-02,ISPH,2.374328911304474,aggressive,test
2024-01-02,JUFO,0.28411828105648357,balanced,test
2024-01-02,MASR,0.7427307566006979,balanced,test
2024-01-02,MCQE,-0.4731936740378539,balanced,test
