quarter_start,ticker,rl_risk_score,risk_profile,split
2023-03-08,BTFH,4.228657086690267,aggressive,train
2023-03-08,CCAP,4.254762649536133,aggressive,train
2023-03-08,CICH,1.7480640411376953,balanced,train
2023-03-08,CIEB,3.473250468571981,aggressive,train
2023-03-08,CIRA,-3.521066904067993,conservative,train
2023-03-08,CLHO,-3.2130231062571206,conservative,train
2023-03-08,COMI,-3.449163834253947,conservative,train
2023-03-08,DSCW,3.9172823429107666,aggressive,train
2023-03-08,EAST,-1.735741138458252,balanced,train
2023-03-08,EFID,-2.0872941414515176,balanced,train
2023-03-08,EFIH,1.7670332491397858,balanced,train
2023-03-08,EGAL,3.081845204035441,balanced,train
2023-03-08,EGCH,4.010576486587524,aggressive,train
2023-03-08,EGTS,0.01575338840484619,balanced,train
2023-03-08,EMFD,-3.3009190559387207,conservative,train
2023-03-08,ETEL,0.4467367132504781,balanced,train
2023-03-08,EXPA,0.60283895333608,balanced,train
2023-03-08,FAIT,-2.9946180979410806,conservative,train
2023-03-08,FAITA,-3.7353150844573975,conservative,train
2023-03-08,FWRY,4.021740913391113,aggressive,train
2023-03-08,GBCO,4.127002477645874,aggressive,train
2023-03-08,GDWA,4.177629470825195,aggressive,train
2023-03-08,HDBK,-3.5272274017333984,conservative,train
2023-03-08,HELI,4.276153405507405,aggressive,train
2023-03-08,HRHO,-0.7988953193028768,balanced,train
2023-03-08,IRON,-2.558608293533325,conservative,train
2023-03-08,ISPH,3.175270120302836,aggressive,train
2023-03-08,JUFO,2.070819596449534,balanced,train
2023-03-08,MASR,4.0729154745737715,aggressive,train
2023-03-08,MCQE,-2.8438313007354736,conservative,train
2023-03-08,MFPC,-3.728203376134237,conservative,train
2023-03-08,MTIE,4.236807664235433,aggressive,train
2023-03-08,OCDI,-0.918848474820455,balanced,train
2023-03-08,OFH,-3.146277109781901,conservative,train
2023-03-08,OIH,1.68635090192159,balanced,train
2023-03-08,ORAS,-3.714280684789022,conservative,train
2023-03-08,ORHD,4.162752151489258,aggressive,train
2023-03-08,ORWE,3.675008773803711,aggressive,train
2023-03-08,PHAR,-3.703710158665975,conservative,train
2023-03-08,PHDC,4.265992959340413,aggressive,train
2023-03-08,PRDC,-3.147490898768107,conservative,train
2023-03-08,QNBE,-2.4532585938771567,conservative,train
2023-03-08,RAYA,4.256333192189534,aggressive,train
2023-03-08,RMDA,-2.4408857027689614,conservative,train
2023-03-08,SKPC,4.081258296966553,aggressive,train
2023-03-08,SPMD,0.9538640975952148,balanced,train
2023-03-08,SUGR,-1.3110252420107524,balanced,train
2023-03-08,SWDY,3.6331992149353027,aggressive,train
2023-03-08,TALM,2.3486693302790322,balanced,train
2023-03-08,TMGH,-3.5302534103393555,conservative,train
2023-03-08,VLMR,-3.781841993331909,conservative,train
2023-03-08,VLMRA,-2.847158114115397,conservative,train
2023-06-14,ABUK,-3.7979325453440347,conservative,train
2023-06-14,ADIB,2.2164387106895447,balanced,train
2023-06-14,ALCN,4.242586453755696,aggressive,train
2023-06-14,AMOC,4.195594469706218,aggressive,train
2023-06-14,ARAB,0.19072014093399048,balanced,train
2023-06-14,ARCC,1.3685399095217388,balanced,train
2023-06-14,ASPI,3.412083307902018,aggressive,train
2023-06-14,BINV,4.158324241638184,aggressive,train
2023-06-14,BTFH,4.14704434076945,aggressive,train
2023-06-14,CCAP,4.269023259480794,aggressive,train
2023-06-14,CICH,3.436144789059957,aggressive,train
2023-06-14,CIEB,2.6000240643819175,balanced,train
2023-06-14,CIRA,-3.4770325819651284,conservative,train
2023-06-14,CLHO,-2.171058257420858,conservative,train
2023-06-14,COMI,-3.762259085973104,conservative,train
2023-06-14,DSCW,0.6228625873724619,balanced,train
2023-06-14,EAST,-0.3271067539850871,balanced,train
2023-06-14,EFID,-3.505899429321289,conservative,train
2023-06-14,EFIH,-3.2861934502919516,conservative,train
2023-06-14,EGAL,-0.31042925516764325,balanced,train
2023-06-14,EGCH,3.8597373962402344,aggressive,train
2023-06-14,EGTS,0.6170451641082764,balanced,train
2023-06-14,EMFD,-3.622520844141642,conservative,train
2023-06-14,ETEL,-3.3517778714497886,conservative,train
2023-06-14,EXPA,4.073178768157959,aggressive,train
2023-06-14,FAIT,-3.576537529627482,conservative,train
2023-06-14,FAITA,-3.7885727087656655,conservative,train
2023-06-14,FWRY,1.1667514356474082,balanced,train
2023-06-14,GBCO,3.589298407236735,aggressive,train
2023-06-14,GDWA,4.165761152903239,aggressive,train
2023-06-14,HDBK,-3.6399923960367837,conservative,train
2023-06-14,HELI,4.2427263259887695,aggressive,train
